X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
396.14,4.812,11.942,2.462,224,1.868,20.2,0.515,0,5,37.3,8.51,5.19,0.033,0,20.6
387.94,4.455,18.136,2.549,307,0.956,21,0.538,0,4,94.4,12.8,8.14,0.773,0,18.4
389.39,5.721,13.46,2.464,233,0.785,17.9,0.448,0,3,40,9.55,6.91,0.123,0,21.2
348.93,3.588,42.131,2.326,277,1.034,18.6,0.489,0,4,9.8,29.55,10.59,0.29,0,23.7
391.98,1.726,24.115,2.544,666,0.048,20.2,0.693,0,24,98.8,17.12,18.1,8.717,0,13.1
396.9,6.498,19.13,2.365,345,0.953,18.9,0.409,0,4,36.8,13.09,6.07,0.136,12.5,17.4
396.9,4.721,9.443,2.533,287,0.686,19.6,0.493,0,5,40.1,6.12,7.38,0.341,0,25
384.07,2.133,21.008,2.648,264,1.598,13,0.647,0,5,84.6,14.79,3.97,0.786,20,30.7
396.42,3.945,16.717,2.389,304,1.936,18.4,0.544,0,4,77.7,11.5,9.9,0.254,0,16.2
391.5,2.759,19.186,2.394,432,1.629,17.8,0.547,0,6,65.2,13.61,10.01,0.145,0,19.3
376.04,10.586,8.545,2.436,334,1.503,22,0.413,0,4,19.5,5.57,1.91,0.107,80,20.6
392.3,4.438,9.447,2.575,247,1.974,18.5,0.449,0,3,56.1,6.53,4.49,0.057,0,26.6
394.33,4.4,23.058,2.434,307,0.829,21,0.538,0,4,94.1,16.3,8.14,0.75,0,15.6
395.56,2.741,11.215,2.787,193,0.813,17.8,0.488,0,3,83.3,7.56,2.46,0.066,0,39.8
395.15,3.748,12.186,2.474,247,0.435,18.5,0.449,0,3,56.8,8.44,4.49,0.072,0,22.2
396.9,1.782,22.95,2.426,666,0.684,20.2,0.693,0,24,94.7,16.35,18.1,13.36,0,12.7
385.41,5.721,7.308,2.602,233,1.316,17.9,0.448,0,3,2.9,4.84,6.91,0.127,0,26.6
394.63,6.062,5.022,2.645,222,0.839,18.7,0.458,0,3,45.8,2.94,2.18,0.032,0,33.4
396.9,1.49,43.339,2.335,666,0.254,20.2,0.693,0,24,100,30.59,18.1,38.352,0,5
344.05,1.755,34.182,2.327,711,0.21,20.1,0.609,0,4,98.3,23.97,27.74,0.183,0,7
392.78,3.421,13.77,2.577,276,1.915,16.4,0.55,0,5,85.1,9.69,13.89,0.07,0,28.7
338.16,1.5,42.531,2.419,666,1.216,20.2,0.693,0,24,77.8,29.97,18.1,9.917,0,6.3
396.9,3.033,23.549,2.483,666,1.692,20.2,0.58,0,24,84,16.29,18.1,4.349,0,19.9
372.08,3.216,9.017,2.676,307,0.866,17.4,0.504,0,8,79.9,6.36,6.2,0.412,0,31.6
396.9,1.533,34.633,2.349,666,1.348,20.2,0.7,0,24,100,24.56,18.1,7.992,0,12.3
330.04,2.263,16.642,2.53,403,1.916,14.7,0.605,0,5,95.2,11.32,19.58,2.45,0,22.3
396.9,3.934,12.991,2.419,279,0.256,19.2,0.499,0,5,41.5,8.77,5.96,0.08,0,21
394.87,4.355,15.986,2.515,277,1.105,18.6,0.489,0,4,52.5,10.97,10.59,0.23,0,24.4
390.7,3.999,26.137,2.432,304,0.929,18.4,0.544,0,4,83.2,18.33,9.9,0.318,0,17.8
396.9,5.96,9.733,2.584,289,0.863,16,0.437,0,4,31.1,6.27,13.92,0.129,0,28.6
18.82,1.863,21.043,2.49,666,0.93,20.2,0.679,0,24,78.7,14.52,18.1,37.662,0,10.9
371.58,7.828,7.211,2.653,358,1.554,14.8,0.4,0,5,10,4.74,2.24,0.056,70,29
378.09,2.087,25.247,2.442,188,0.069,19.1,0.581,0,2,92.9,17.93,25.65,0.093,0,20.5
393.37,2.897,20.232,2.537,666,1.984,20.2,0.58,0,24,75,14.36,18.1,3.569,0,23.2
379.38,2.006,24.778,2.425,188,0.562,19.1,0.581,0,2,95.8,17.58,25.65,0.098,0,18.8
394.12,2.701,7.421,2.675,193,0.087,17.8,0.488,0,3,92.2,4.82,2.46,0.091,0,37.9
96.73,1.936,30.34,2.489,666,0.465,20.2,0.679,0,24,78.1,21.52,18.1,7.367,0,11
304.21,2.185,27.529,2.533,666,0.551,20.2,0.713,0,24,98.3,19.31,18.1,7.526,0,13
394.02,6.641,18.177,2.389,304,0.591,16.9,0.438,0,1,28.4,12.43,6.06,0.05,35,17.1
390.86,7.828,9.194,2.621,358,0.668,14.8,0.4,0,5,47.4,6.07,2.24,0.044,70,24.8
395.04,2.119,17.659,2.541,437,0.635,21.2,0.624,0,4,98.9,12.6,21.89,0.34,0,19.2
27.49,2.003,25.846,2.542,666,1.142,20.2,0.74,0,24,93.3,18.05,18.1,14.421,0,9.6
373.66,4.052,17.653,2.506,398,0.539,18.7,0.437,0,5,74.5,11.97,12.83,0.102,0,20
387.38,3.216,4.723,2.835,307,0.349,17.4,0.504,0,8,86.5,3.13,6.2,0.382,0,37.6
379.41,6.19,9.489,2.546,300,1.213,16.6,0.428,0,6,18.5,6.36,4.93,0.082,30,23.7
393.42,2.079,16.286,2.707,264,1.837,13,0.647,0,5,94.5,11.25,3.97,0.825,20,31
388.45,4.148,14.177,2.575,307,0.335,17.4,0.507,1,8,76.5,9.54,6.2,0.521,0,25.1
393.36,3.37,13.09,2.572,222,1.202,18.4,0.472,0,7,58.1,8.93,2.18,0.055,33,28.4
396.9,5.401,7.505,2.594,281,0.718,19,0.426,0,4,33.5,5.29,4.86,0.041,25,28
386.09,8.907,5.502,2.638,330,1.15,19.1,0.431,0,7,6.8,3.53,5.86,0.082,22,29.6
391.43,2.567,21.017,2.525,666,0.413,20.2,0.713,0,24,88.4,14.65,18.1,3.693,0,17.7
374.68,2.533,17.288,2.642,666,1.09,20.2,0.614,0,24,67.6,11.66,18.1,4.647,0,29.8
393.97,6.815,13.828,2.473,243,0.734,16.8,0.439,0,4,63,9.43,5.64,0.043,21,20.5
388.45,2.162,5.593,2.894,403,1.81,14.7,0.605,1,5,93.9,3.32,19.58,1.519,0,50
396.24,3.103,14.401,2.444,304,0.878,18.4,0.544,0,4,76.7,9.97,9.9,0.349,0,20.3
395.67,2.211,26.772,2.416,384,1.65,20.9,0.52,0,5,91.9,18.66,8.56,0.171,0,19.5
376.57,3.798,29.527,2.36,307,1.966,21,0.538,0,4,98.1,21.02,8.14,1.252,0,13.6
392.63,3.199,6.332,2.798,193,0.913,17.8,0.488,0,3,53.6,4.45,2.46,0.056,0,50
396.9,3.495,8.769,2.723,276,1.519,18,0.445,0,2,62.5,6.19,2.89,0.069,0,33.2
306.38,4.453,25.076,2.459,307,0.695,21,0.538,0,4,88.8,17.28,8.14,0.956,0,14.8
393.68,4.022,9.702,2.69,222,0.217,18.4,0.472,0,7,41.1,6.93,2.18,0.055,33,36.1
390.43,5.492,6.968,2.642,329,0.981,16.1,0.433,0,7,17.7,4.86,6.09,0.1,34,33.1
354.7,1.613,10.462,1.887,666,1.665,20.2,0.718,0,24,87.9,7.12,18.1,4.556,0,27.5
394.12,6.062,7.608,2.536,222,0.778,18.7,0.458,0,3,58.7,5.21,2.18,0.03,0,28.7
396.9,2.382,17.501,2.389,391,0.863,19.2,0.585,0,6,54,12.01,9.69,0.173,0,21.8
395.01,3.666,11.597,2.538,270,1.064,18.2,0.464,0,4,53.6,8.16,15.04,0.042,28,22.9
394.72,7.307,11.476,2.662,285,0.557,15.3,0.4,0,1,20.8,7.85,2.97,0.009,90,32.2
396.9,2.598,13.241,2.479,193,1.687,17.8,0.488,0,3,62.2,9.45,2.46,0.069,0,36.2
331.29,2.54,29.942,2.45,666,1.366,20.2,0.584,0,24,94.5,21.32,18.1,4.422,0,19.1
396.9,3.424,15.747,2.498,666,0.952,20.2,0.532,0,24,64.7,10.74,18.1,5.824,0,23
372.92,1.59,43.625,2.209,666,0.568,20.2,0.7,0,24,100,30.62,18.1,14.334,0,10.2
81.33,2.088,28.166,2.614,666,1.612,20.2,0.584,0,24,94.3,19.69,18.1,10.062,0,14.1
380.23,4.239,17.594,2.583,307,0.424,21,0.538,0,4,87.3,11.98,8.14,1.002,0,21
376.94,5.287,14.823,2.442,305,0.444,19.2,0.413,0,4,17.5,9.88,10.81,0.159,0,21.7
389.61,2.041,2.953,2.793,403,0.472,14.7,0.605,1,5,98.2,1.92,19.58,1.834,0,50
35.05,1.528,30.418,2.58,666,0.783,20.2,0.597,0,24,100,21.22,18.1,14.051,0,17.2
384.97,1.425,32.613,2.384,666,1.221,20.2,0.693,0,24,100,22.98,18.1,67.921,0,5
396.9,4.779,13.942,2.528,247,1.558,18.5,0.449,0,3,48,9.62,4.49,0.051,0,23.9
377.68,6.48,7.647,2.636,398,0.687,15.2,0.437,0,5,21.5,5.1,3.44,0.091,45,37
261.95,1.623,22.336,2.389,403,0.259,14.7,0.871,0,5,98.5,15.79,19.58,2.149,0,19.4
383.78,6.19,10.506,2.57,300,1.216,16.6,0.428,0,6,42.2,7.37,4.93,0.093,30,23.3
391.34,2.505,19.391,2.529,666,1.889,20.2,0.77,1,24,91,13.27,18.1,3.85,0,21.7
396.9,8.907,5.312,2.874,330,0.812,19.1,0.431,0,7,8.4,3.54,5.86,0.369,22,42.8
396.9,4.54,9.961,2.525,287,1.738,19.6,0.493,0,5,54.3,6.87,7.38,0.182,0,23.1
393.25,3.877,24.53,2.441,277,0.702,18.6,0.489,1,4,92.1,17.27,10.59,0.174,0,21.7
393.29,2.799,24.666,2.381,391,0.125,19.2,0.585,0,6,28.8,17.6,9.69,0.179,0,23.1
363.02,1.345,33.23,2.579,666,1.493,20.2,0.671,0,24,93.3,23.24,18.1,15.288,0,13.9
360.2,3.652,11.415,2.593,307,0.357,17.4,0.507,1,8,66.5,8.05,6.2,0.448,0,29
393.39,3.263,11.075,2.503,304,0.939,18.4,0.544,0,4,82.8,7.9,9.9,0.269,0,21.6
319.98,1.875,22.599,2.451,666,0.23,20.2,0.718,0,24,95.3,15.7,18.1,7.023,0,14.2
360.17,4.233,32.565,2.39,307,1.443,21,0.538,0,4,94.1,22.6,8.14,1.131,0,12.7
378.25,1.967,24.509,2.438,437,0.189,21.2,0.624,0,4,93.5,16.9,21.89,0.323,0,17.4
396.9,1.426,43.634,2.297,666,1.723,20.2,0.7,0,24,98.1,30.81,18.1,16.812,0,7.2
387.89,1.93,11.88,2.684,264,1.772,13,0.647,0,5,91.6,8.1,3.97,0.55,20,36.5
396.9,2.64,8.863,2.474,304,1.141,18.4,0.544,0,4,52.8,5.98,9.9,0.79,0,22.1
6.68,2.496,26.78,2.594,666,0.009,20.2,0.713,0,24,94.1,18.71,18.1,9.514,0,14.9
385.02,1.993,20.805,2.447,188,0.006,19.1,0.581,0,2,88.4,14.81,25.65,0.169,0,21.4
232.6,3.99,38.884,2.439,307,0.845,21,0.538,0,4,82,27.71,8.14,1.388,0,13.2
350.65,2.296,20.422,2.5,666,1.756,20.2,0.77,0,24,91.1,14.19,18.1,3.837,0,19.9
353.89,1.757,9.114,2.463,403,0.014,14.7,0.605,0,5,100,6.43,19.58,1.343,0,24.3
396.9,5.401,9.513,2.51,281,1.338,19,0.426,0,4,32.2,6.72,4.86,0.037,25,24.8
396.9,3.495,6.254,2.841,276,0.807,18,0.445,0,2,76,4.21,2.89,0.121,0,38.7
392.68,3.546,21.548,2.473,666,0.234,20.2,0.583,0,24,79.8,14.98,18.1,5.692,0,19.1
396.9,2.288,13.496,2.474,273,0.747,21,0.573,0,1,76.7,9.08,11.93,0.045,0,20.6
391.99,2.479,14.434,2.568,273,0.149,21,0.573,0,1,69.1,9.67,11.93,0.063,0,22.4
385.76,2.327,16.504,2.524,437,1.159,21.2,0.624,0,4,97.9,11.12,21.89,0.59,0,23
392.2,7.309,10.128,2.697,329,0.528,12.6,0.404,0,2,38.3,6.62,1.52,0.038,80,34.6
348.13,2.389,17.174,2.425,403,1.249,14.7,0.605,0,5,97.3,12.03,19.58,2.314,0,19.1
396.9,1.137,53.396,2.034,666,0.683,20.2,0.668,0,24,100,37.97,18.1,18.498,0,13.8
2.6,1.413,14.394,2.399,666,0.076,20.2,0.597,0,24,100,10.11,18.1,51.136,0,15
396.9,1.322,37.621,2.324,403,1.145,14.7,0.871,1,5,100,26.82,19.58,3.321,0,13.4
28.79,1.554,49.023,2.151,666,0.961,20.2,0.597,0,24,100,34.37,18.1,18.811,0,17.9
2.52,2.022,33.217,2.47,666,0.886,20.2,0.614,0,24,85.1,23.29,18.1,7.05,0,13.4
393.23,3.555,14.651,2.454,296,0.865,16.6,0.51,0,5,47.2,10.11,4.05,0.07,0,23.2
392.74,5.689,26.349,2.456,233,0.012,17.9,0.448,0,3,85.5,18.8,6.91,0.229,0,16.6
391.93,2.011,10.447,2.616,264,1.756,13,0.647,0,5,100,6.9,3.97,0.657,20,30.1
381.32,4.239,20.756,2.463,277,1.024,18.6,0.489,1,4,59.1,14.66,10.59,0.136,0,24.4
396.9,4.101,7.537,2.61,216,0.065,14.9,0.443,0,5,32.2,4.85,3.33,0.21,20,35.1
377.07,7.397,5.771,2.537,330,0.369,19.1,0.431,0,7,8.9,3.59,5.86,0.214,22,24.8
395.58,2.856,11.375,2.604,384,0.019,20.9,0.52,0,5,71.3,7.67,8.56,0.114,0,26.5
395.11,2.422,17.088,2.42,403,1.82,14.7,0.605,0,5,91.8,11.64,19.58,2.242,0,22.7
396.9,5.1,20.579,2.405,233,1.505,17.9,0.448,0,3,33.3,14.15,6.91,0.188,0,20
303.42,4.455,23.97,2.366,307,1.73,21,0.538,0,4,85.7,16.51,8.14,0.841,0,13.9
396.21,6.498,12.147,2.424,345,1.635,18.9,0.409,0,4,21.4,8.1,6.07,0.058,12.5,22
292.29,2.426,20.672,2.424,403,0.013,14.7,0.605,0,5,94.6,14.43,19.58,1.207,0,17.4
394.08,1.85,20.943,2.54,437,1.203,21.2,0.624,0,4,98.4,14.59,21.89,0.352,0,17.1
347.88,1.13,13.277,2.424,666,0.112,20.2,0.668,1,24,89.6,8.88,18.1,8.267,0,50
390.68,7.815,10.16,2.479,284,1.035,19.7,0.453,0,8,29.2,6.86,5.13,0.154,25,23.3
368.57,5.874,13.55,2.479,430,1.533,16.9,0.46,0,4,32.2,9.09,3.24,0.045,0,19.8
376.75,3.652,15.768,2.467,307,0.287,17.4,0.507,0,8,61.5,10.88,6.2,0.33,0,24
380.79,2.104,14.971,2.316,666,1.798,20.2,0.77,0,24,96.2,10.19,18.1,3.678,0,20.8
393.49,2.778,18.235,2.489,384,0.568,20.9,0.52,0,5,54.4,13,8.56,0.108,0,21.7
0.32,2.324,24.806,2.598,666,1.068,20.2,0.713,0,24,92.6,17.44,18.1,6.718,0,13.4
396.9,5.985,11.372,2.457,224,0.225,20.2,0.515,0,5,34.5,8.01,5.19,0.04,0,21.1
368.24,7.828,7.502,2.519,358,1.905,14.8,0.4,0,5,20.1,4.97,2.24,0.065,70,22.5
392.05,1.202,4.502,2.649,666,0.255,20.2,0.631,1,24,97.5,2.96,18.1,6.539,0,50
389.71,6.48,7.221,2.596,398,1.896,15.2,0.437,0,5,30.8,4.69,3.44,0.069,45,30.5
9.32,1.914,37.485,2.48,666,1.351,20.2,0.74,0,24,100,26.45,18.1,15.177,0,8.7
393.68,5.416,7.46,2.536,287,1.378,19.6,0.493,0,5,14.7,5.08,7.38,0.192,0,24.6
375.87,2.453,24.001,2.719,666,0.616,20.2,0.713,0,24,99.3,16.74,18.1,8.248,0,17.8
396.9,1.791,22.029,2.489,666,1.738,20.2,0.693,0,24,92.6,15.17,18.1,8.645,0,13.8
377.17,5.287,11.066,2.499,305,1.144,19.2,0.413,0,4,6.2,7.54,10.81,0.195,0,23.4
390.95,3.797,16.385,2.393,307,0.314,21,0.538,0,4,69.5,11.28,8.14,0.726,0,18.2
88.27,1.658,52.218,2.126,666,0.773,20.2,0.693,0,24,100,36.98,18.1,45.746,0,7
389.15,2.258,20.923,2.423,188,1.087,19.1,0.581,0,2,69.7,14.37,25.65,0.069,0,22
394.96,3.918,11.56,2.557,223,1.351,18.6,0.464,0,3,58.7,7.73,6.96,0.115,20,24.4
314.64,1.455,37.151,2.37,666,1.698,20.2,0.597,0,24,97.9,26.4,18.1,7.404,0,17.2
391.25,6.336,15.942,2.626,300,1.126,16.6,0.428,0,6,54.3,11.38,4.93,0.113,30,22
179.36,1.466,28.572,2.618,666,0.053,20.2,0.597,0,24,100,19.78,18.1,14.438,0,27.5
396.9,4.14,10.272,2.546,254,1.783,17.6,0.447,0,4,32.1,7.19,6.41,0.08,40,29.1
389.43,4.355,26.268,2.405,277,1.898,18.6,0.489,0,4,72.7,18.06,10.59,0.252,0,22.5
386.85,4.499,9.228,2.436,307,0.274,21,0.538,0,4,29.3,6.58,8.14,1.054,0,23.1
396.9,5.117,5.281,2.674,245,0.838,19.2,0.411,0,4,27.7,3.56,4.95,0.079,80,37.3
396.9,5.732,10.906,2.588,370,0.271,17.6,0.484,0,5,56.4,7.18,3.78,0.025,55,23.9
390.55,5.118,4.38,2.834,224,0.627,14.7,0.416,0,4,31.9,2.88,2.68,0.02,95,50
394.43,1.927,24.399,2.39,666,0.063,20.2,0.7,0,24,97,17.11,18.1,6.962,0,15.1
377.73,2.122,25.154,2.492,666,1.166,20.2,0.77,1,24,97.4,17.6,18.1,8.983,0,17.8
3.5,2.779,23.893,2.436,666,0.414,20.2,0.713,0,24,80.3,16.94,18.1,8.201,0,13.5
393.1,1.633,28.611,2.397,666,0.558,20.2,0.693,0,24,98.9,19.92,18.1,7.672,0,8.5
396.9,6.32,22.725,2.406,289,1.33,16,0.437,0,4,58,15.84,13.92,0.141,0,20.3
318.01,2.072,25.262,2.518,666,1.394,20.2,0.74,0,24,96.4,17.79,18.1,6.288,0,14.9
396.9,6.612,6.653,2.508,337,1.633,16.1,0.398,0,4,17.8,4.67,3.37,0.036,80,23.5
393.74,7.827,9.966,2.592,330,0.791,19.1,0.431,0,7,17.5,6.56,5.86,0.191,22,26.2
391.27,2.915,9.967,2.619,296,1.928,16.6,0.51,0,5,74.4,6.92,4.05,0.066,0,29.9
395.77,2.4,22.03,2.36,391,1.408,19.2,0.585,0,6,73.5,15.1,9.69,0.178,0,17.5
390.5,5.451,22.18,2.427,311,1.715,15.2,0.524,0,5,39,15.71,7.87,0.094,12.5,21.7
394.76,2.778,13.669,2.594,384,1.39,20.9,0.52,0,5,79.9,9.42,8.56,0.149,0,27.5
396.9,4.967,13.295,2.534,242,1.149,17.8,0.469,0,2,78.9,9.14,7.07,0.027,0,21.6
395.11,7.225,18.549,2.396,284,0.05,19.7,0.453,0,8,66.2,13.15,5.13,0.149,25,18.7
383.61,5.492,12.211,2.549,329,1.542,16.1,0.433,0,7,18.4,8.67,6.09,0.093,34,26.4
375.33,1.357,5.471,2.585,666,0.619,20.2,0.631,1,24,96.8,3.73,18.1,5.67,0,50
396.9,5.1,14.342,2.384,233,0.632,17.9,0.448,0,3,33.8,10.21,6.91,0.171,0,19.3
396.9,3.318,6.428,2.576,304,1.559,18.4,0.544,0,4,82.5,4.54,9.9,0.493,0,22.8
384.46,12.127,7.007,2.594,187,1.355,17,0.41,0,5,36.1,4.5,2.02,0.017,90,30.1
396.9,4.54,10.612,2.535,287,1.187,19.6,0.493,0,5,52.3,7.2,7.38,0.168,0,23.8
396.9,1.174,49.423,2.215,666,1.692,20.2,0.668,0,24,100,34.77,18.1,11.108,0,13.8
27.25,1.835,40.725,2.537,666,1.808,20.2,0.679,0,24,100,29.05,18.1,18.085,0,7.2
100.19,2.316,23.29,2.537,666,0.202,20.2,0.713,0,24,87.9,16.22,18.1,5.581,0,14.3
396.9,6.498,12.458,2.426,345,1.301,18.9,0.409,0,4,33,8.79,6.07,0.128,12.5,20.9
382.8,10.586,12.113,2.38,334,0.141,22,0.413,0,4,21.9,8.05,1.91,0.043,80,18.2
396.9,1.813,22.446,2.536,437,0.923,21.2,0.624,0,4,98.8,15.39,21.89,0.325,0,18
396.9,2.734,20.11,2.513,666,0.421,20.2,0.713,0,24,83,13.99,18.1,6.655,0,19.5
396.9,2.262,26.037,2.487,666,0.075,20.2,0.713,0,24,98.7,18.13,18.1,9.329,0,14.1
393.23,2.702,13.547,2.421,296,0.743,16.6,0.51,0,5,68.7,9.64,4.05,0.084,0,22.6
394.74,7.038,8.499,2.691,284,1.666,15.5,0.442,0,1,49.3,5.49,1.52,0.013,35,32.7
388.22,3.152,16.493,2.43,666,1.31,20.2,0.583,0,24,53.2,11.45,18.1,4.836,0,20.6
396.9,4.812,14.416,2.446,224,0.119,20.2,0.515,0,5,45.4,9.74,5.19,0.055,0,19
395.75,5.492,13.984,2.567,329,1.508,16.1,0.433,0,7,40.4,9.5,6.09,0.035,34,22
376.14,8.056,14.262,2.495,330,0.292,19.1,0.431,0,7,79.2,10.15,5.86,0.197,22,20.5
354.31,7.309,12.945,2.666,329,0.047,12.6,0.404,0,2,36.6,8.61,1.52,0.047,80,30.3
396.28,7.397,8.861,2.547,330,0.096,19.1,0.431,0,7,13,5.9,5.86,0.14,22,24.4
88.01,1.746,21.651,2.48,403,0.394,14.7,0.871,1,5,82.6,15.02,19.58,3.535,0,15.6
390.11,1.868,26.017,2.446,711,0.311,20.1,0.609,0,4,98.8,18.07,27.74,0.106,0,13.6
393.87,3.789,10.322,2.604,398,0.472,15.2,0.437,0,5,41.1,6.68,3.44,0.079,45,32
396.9,1.358,30.022,2.607,666,0.761,20.2,0.671,0,24,98.8,21.24,18.1,9.823,0,13.3
395.43,2.723,16.745,2.475,666,0.031,20.2,0.77,1,24,83.4,11.48,18.1,5.202,0,22.7
390.91,5.287,7.924,2.463,305,0.06,19.2,0.413,0,4,7.8,5.52,10.81,0.092,0,22.8
396.9,4.812,13.31,2.443,224,1.139,20.2,0.515,0,5,58.5,9.29,5.19,0.062,0,18.7
392.53,4.012,19.94,2.442,307,0.183,21,0.538,0,4,89.2,13.83,8.14,0.852,0,19.6
390.18,8.056,12.996,2.471,330,1.956,19.1,0.431,0,7,34.9,9.16,5.86,0.34,22,24.3
374.56,2.518,11.009,2.529,666,0.904,20.2,0.77,0,24,88,7.79,18.1,4.542,0,25
353.04,1.905,20.516,2.409,666,0.874,20.2,0.77,1,24,89,14.64,18.1,4.222,0,16.8
355.29,2.355,25.156,2.58,666,0.866,20.2,0.713,0,24,98.2,17.73,18.1,5.441,0,15.2
370.73,3.724,18.798,2.423,666,1.134,20.2,0.583,0,24,41.9,13.34,18.1,2.379,0,20.6
394.23,5.648,4.935,2.806,255,0.515,14.4,0.422,0,4,32,2.97,0.46,0.014,80,50
396.06,3.415,8.219,2.661,270,1.408,17.8,0.489,0,2,63.1,5.7,3.41,0.053,0,28.7
392.69,2.421,18.244,2.483,384,0.052,20.9,0.52,0,5,90,12.33,8.56,0.14,0,20.1
385.09,2.368,24.985,2.509,666,1.018,20.2,0.713,0,24,91.8,17.27,18.1,5.09,0,16.1
393.07,3.332,11.684,2.598,666,1.779,20.2,0.532,0,24,74.9,7.74,18.1,5.708,0,23.7
